Omega_m, sigma_8, lambda
0.2, 0.6, 0.02428640949575441 
0.2, 0.65714286, 0.024006450414330333 
0.2, 0.71428571, 0.023785053121515992 
0.2, 0.77142857, 0.023624886747017 
0.2, 0.82857143, 0.023524485756293102 
0.2, 0.88571429, 0.023479998781290198 
0.2, 0.94285714, 0.023486993994212814 
0.2, 1.0, 0.023539825858260883 
0.22857143, 0.6, 0.02629226407957147 
0.22857143, 0.65714286, 0.025993252342324302 
0.22857143, 0.71428571, 0.025766638582081426 
0.22857143, 0.77142857, 0.025612868661904563 
0.22857143, 0.82857143, 0.025528106887040797 
0.22857143, 0.88571429, 0.025506138637783705 
0.22857143, 0.94285714, 0.02554049492082252 
0.22857143, 1.0, 0.02562427500567941 
0.25714286, 0.6, 0.028119426471666917 
0.25714286, 0.65714286, 0.027812442932992454 
0.25714286, 0.71428571, 0.027591387802242483 
0.25714286, 0.77142857, 0.027454463994000578 
0.25714286, 0.82857143, 0.02739473862344658 
0.25714286, 0.88571429, 0.027403195810142937 
0.25714286, 0.94285714, 0.027472590284477662 
0.25714286, 1.0, 0.027593265630424038 
0.28571429, 0.6, 0.029798612114891238 
0.28571429, 0.65714286, 0.02949451279136625 
0.28571429, 0.71428571, 0.02929046374249824 
0.28571429, 0.77142857, 0.029179268815066897 
0.28571429, 0.82857143, 0.029152760894390454 
0.28571429, 0.88571429, 0.029199441357538408 
0.28571429, 0.94285714, 0.029309147890907744 
0.28571429, 1.0, 0.029471016322627667 
0.31428571, 0.6, 0.03135540870606038 
0.31428571, 0.65714286, 0.031064715970750424 
0.31428571, 0.71428571, 0.030886485452111617 
0.31428571, 0.77142857, 0.030810618201057606 
0.31428571, 0.82857143, 0.030824322593274354 
0.31428571, 0.88571429, 0.03091469184169037 
0.31428571, 0.94285714, 0.03106820383926627 
0.31428571, 1.0, 0.03127539504931945
0.34285714, 0.6, 0.032810248362948304 
0.34285714, 0.65714286, 0.032543448980435305 
0.34285714, 0.71428571, 0.03240049938255928 
0.34285714, 0.77142857, 0.032366529240656305 
0.34285714, 0.82857143, 0.03242629978471611 
0.34285714, 0.88571429, 0.032563490462868494 
0.34285714, 0.94285714, 0.03276564462892519 
0.34285714, 1.0, 0.03301879377854716 
0.37142857, 0.6, 0.03418177460409556 
0.37142857, 0.65714286, 0.03394838693178802 
0.37142857, 0.71428571, 0.03384778669856403 
0.37142857, 0.77142857, 0.03386162306914285 
0.37142857, 0.82857143, 0.03397141238302153 
0.37142857, 0.88571429, 0.034160318920593145 
0.37142857, 0.94285714, 0.034410807050932225 
0.37142857, 1.0, 0.03471248992455402 
0.4, 0.6, 0.03548432423154983 
0.4, 0.65714286, 0.03529200045447309 
0.4, 0.71428571, 0.03524066769865861 
0.4, 0.77142857, 0.035306964492474786 
0.4, 0.82857143, 0.035470650521631605 
0.4, 0.88571429, 0.035711069754591464 
0.4, 0.94285714, 0.036012916470886135 
0.4, 1.0, 0.036361901966773406